,reviews,sentiments
0,"recent flight cyprus ba621 23/11/24 , second cabin door closed pilot announced would held runway 2 hour . know prior inform passenger boarded . flight home took nearly 6 hour due weather condition , plus 2 hour waiting . ba offer 8 hour hell flight , 3 oatmeal biscuit 250ml water family . went cabin crew ask water , told ’ 3 4 cabin crew asleep back row seat aircraft ba621 23/11/24 . infuriated previously asked spare seat 2 year old could spread get sleep available . told flight full . arrived late connecting flight missed . queued connection desk large queue watch ba staff clock night front u . genuine support given , family effectively abandoned ba . ’ tried speak someone , helpline automated message saying due number call ( surprised aspect ) cant assist , hang . tried several time various time . think ’ default message . raised via email system . unsurprisingly mugged ’ escalate 8 week passed . like said national disgrace .",-0.8
1,"flight ba 0560 arrived rome 11 december passenger received sm ba say luggage left london . wife completed required form queue 2 hour checked . ba ’ agent rome believe baggage would arrive last flight night ( 10pm ) would likely delivered next day . nobody ba rome airport made contact u explain happened bag would arrive . finally got luggage delivered u 4pm sunday 15 december - day due leave rome . waiting period contact initiated either ba rome agent several occasion called rome london help desk , received update . 34 year travelling together never happened sheer neglect keeping u informed disgusting . sadly ba , never fly share horror story others strongly encourage fly another airline . would give ba overall rating zero .","Based on the text provided, the sentiment would be approximately -0.9."
2,"first time flew british airway , huge disappointment . seat quite good , food simple service subpar . , heathrow airport , hub , far worst large airport ’ seen europe . landed dc email saying luggage stayed london . last wednesday . airtag could follow suitcase . came washington following day , thursday . ever since , ’ sitting airport . british offer mean communication : online chat bot . bot tell call number england . . ’ another bot . say inquiry luggage sends link via sm hang . option talk human . claim form gave ’ local phone , reach voicemail . keep calling ( 6 time today ) leaving message , saying airtag show suitcase iad offering go pick ’ need deliver . one reply voicemail . basically shut , luggage , information , customer service one talk .","The sentiment of the text can be calculated as follows:
Positive words: good, simple
Negative words: huge disappointment, subpar, worst, stayed, sitting, shut, luggage
Neutral words: first time, food, Heathrow Airport, large airport, seen, Europe, landed, email, London, last Wednesday, airtag, suitcase, Washington, Thursday, airport, offer, mean, communication, online chat bot, call, number, England, another bot, inquiry, sends, link, sm hang, talk, human, claim form, gave, local phone, reach, voicemail, keep, calling, time, today, message, show, IAD, offering, go, pick, need, deliver, one, reply, basically, information, customer service

Total counts:
Positive words: 2
Negative words: 8
Neutral words: 29

Calculating sentiment:
(2 - 8) / (2 + 8 + 29) = -6 / 39 ≈ -0.154

Therefore, the sentiment of the text from 1 (very positive) to -1 (very negative) is approximately -0.154."
3,"pretty good flight still small thing improved . check quick . lounge good - tasty food well chosen wine . disappointingly secured gate bus aircraft hot scrum . got last bus avoid crush . emirate , turkish , lufthansa , qatar plane gate ... ba ? penny-pinching ? turned cabin crew forgot last bus ask welcome drink . came champagne actually cold . well done ba ... first time managed serve champagne cold 10 year flying . big improvement . cabin seat lovely always ( greatly prefer emirate white/gold bling ) . drink service prompt . ife good . starter ( trout ) ok. main ( chicken ) excellent . cheese sold cold ( ) . wine excellent . disturbed night got good sleep comfy bed . cabin bit warm though personal preference . woken ( asked ) served tasty breakfast . small detail - impossible get water 100c altitude maybe ba could warm ceramic coffee cup coffee retains heat bit longer ? pouring quite hot coffee nice ( cold ) china mug mean lukewarm instantly . plane record time ( 2 minute ) parking . bag waiting u belt . excellent work ground staff . overall 8/10 . improvement point : gate bus plane ; n't forget passenger last bus board late ( well pushback ) . standout cabin crew member `` miguel '' - star .",0.6
4,"check fine , priority/fast track line security boarding . one lounge option first class customer mexico city , american airline admiral club , abysmal . free bar , serving cheap alcohol – awful food selection – nowhere shower . board – find seat really comfortable . crew fantastic , ’ starting really see consistency quality first class crew . drink selection fine . food appalling . victim new supper service . basically dinner service lot less options/choice . fish/seafood option either starter main . first choice main unavailable two loaded . fillet steak , drying overcooked , heard least three people send back . pretty impressive cabin eight passenger .. dreadful dessert cheeseboard . luggage swiftly end – good see priority tagging working .",-0.2
5,"british airway absolute rubbish . fly amsterdam urgent appointment . flight cancelled last minute presumably due bad weather . 've kept u gate saying plane could n't land literally every plane airport taking landing zero issue . another klm flight amsterdam scheduled depart time . took time another klm flight amsterdam later evening also took without problem . 's one operated british airway cancelled 'the bad weather ' . apparently , weather bad every plane could land take successfully apart . rebook eurostar next day would still miss important appointment intended go amsterdam . thanks british airway .","Based on the text provided, the sentiment score is approximately -0.85, indicating a very negative sentiment."
6,"flight time changed last minute without warning assistance provided ground staff ( 3rd party agent ) regarding impact delay , help forthcoming phoneline . nobody airline want take responsibility anything . fundamentally unreliable airline . onboard service poor even good low cost airline .",-0.9
7,"'m fraustrated . flight cancelled last minute , n't end world , even though earliest could get re-booked three day later . 's insane saga event proceeded claim compensation 'm legally entitled according eu rule . used claim page ok. became incomprehensibly frustrating . case closed confirmation conclusion money . tried calling kept lead circle ; customer service ca n't speak claim team , claim team ca n't spoken directly , customer service n't access claim team 's system . 4 call later 'nothing could done ' . throw toy pram last call someone finally updated . thought end ; confirmed claim would transferred due . , got amount wrong . wrote highlight said would rectify . almost 1 month since original flight cancelled still n't received owed compensation wife son . sent two email last two day 've yet get response . criminal adhering aviation rule dictate compensation cancelled flight . terrible customer service honestly ca n't belive ba capable awful service .",-0.9
8,sat plane hour forty five minute awaiting takeoff due bad weather london . understandable safety . fortunately long layover delay affect . however many others lucky . waiting given one small bottle water one tiny pack corn kernel . later food drink offered purchase . complaint . sitting idle plane nearly two hour possibly missing connecting flight ’ give u free bag chip coke ? asked told . british airway really cheap money grubbing ?,-0.6
9,"verified | british airway stranding wife heathrow airport 2.5 day , access baggage . told airline employee purchase necessity ( toiletry , refreshment , etc . ) 'd reimbursed . claim denied , ba claiming weather reason delay ( outright lie since every airline london flying on-time ) . unable anything besides stand line voucher , stand line shuttle , stand line reservation , etc . 48+ hour . absolute nightmare never fly ba .","Based on the text provided, the sentiment can be calculated as -0.9."
